code,name,price,hsl,估算日额万,mktcap亿
002354,天娱数科,8.45,38.09,523639.0,139.81
300468,四方精创,27.5,27.56,401760.0,145.93
002297,博云新材,21.32,32.75,400173.0,122.19
600127,金健米业,12.3,40.76,321760.0,78.94
002104,恒宝股份,14.05,33.7,287713.0,99.52
002580,圣阳股份,22.66,25.43,260683.0,102.85
600722,金牛化工,17.2,22.26,260480.0,117.01
000592,平潭发展,7.49,17.8,255385.0,144.69
000560,我爱我家,3.15,33.33,245931.0,74.2
002639,雪人集团,14.32,24.19,228668.0,111.61
300189,神农种业,7.05,35.9,224283.0,72.19
000712,锦龙股份,12.35,19.76,218590.0,110.66
600693,东百集团,10.93,21.66,205748.0,95.07
001258,立新能源,12.29,17.9,205326.0,114.71
300139,晓程科技,51.96,16.82,204264.0,142.37
002081,金 螳 螂,5.18,14.72,202311.0,137.55
002437,誉衡药业,3.94,21.26,176096.0,87.86
000892,欢瑞世纪,5.59,43.85,174232.0,54.84
002703,浙江世宝,17.11,17.33,173782.0,140.75
603538,美诺华,27.32,18.24,167893.0,92.87
002579,中京电子,14.1,20.08,165159.0,86.38
601086,国芳集团,12.65,19.6,165155.0,84.25
002328,新朋股份,9.96,28.85,163992.0,76.87
002418,康盛股份,5.21,27.6,163437.0,59.21
600367,红星发展,35.18,14.34,162483.0,120.01
300499,高澜股份,33.0,18.09,162194.0,100.73
603269,海鸥股份,27.41,13.64,161493.0,118.4
600611,大众交通,5.01,20.38,159650.0,118.44
603989,艾华集团,31.52,12.29,154534.0,125.7
002886,沃特股份,25.11,29.26,153625.0,66.09
002708,光洋股份,15.27,19.7,153333.0,85.83
300300,海峡创新,9.13,23.44,142705.0,60.88
603757,大元泵业,72.41,10.56,142606.0,135.08
688209,英集芯,34.5,9.19,137582.0,149.66
600721,百花医药,11.94,29.9,137265.0,45.91
603533,掌阅科技,24.0,13.0,136903.0,105.34
600479,千金药业,13.15,24.66,135715.0,64.73
603118,共进股份,16.26,10.48,134168.0,128.01
600227,赤天化,4.29,24.04,131748.0,72.45
001330,博纳影业,5.77,19.14,128424.0,79.31
300378,鼎捷数智,39.74,11.93,127821.0,107.92
300420,五洋自控,8.04,14.23,127743.0,89.76
600354,敦煌种业,8.66,27.93,127680.0,45.71
002654,万润科技,13.79,10.91,127148.0,116.57
600103,青山纸业,3.55,16.14,126795.0,79.55
002361,神剑股份,10.6,14.0,125307.0,100.81
002969,嘉美包装,13.13,8.69,124732.0,144.23
002017,东信和平,17.06,12.53,123976.0,99.02
603778,国晟科技,10.79,17.84,123723.0,71.22
002721,金一文化,3.15,14.55,121889.0,83.77
000533,顺钠股份,12.05,14.74,121617.0,83.24
002031,巨轮智能,5.36,10.3,121435.0,117.89
300182,捷成股份,5.22,9.54,120232.0,139.05
603466,风语筑,12.39,16.01,117989.0,73.7
002059,云南旅游,5.67,20.94,117591.0,57.41
603270,金帝股份,33.37,48.41,114237.0,73.12
603890,春秋电子,19.61,11.56,114228.0,98.84
002300,太阳电缆,8.03,19.48,112997.0,58.0
600714,金瑞矿业,21.48,18.21,112716.0,61.9
