code,name,状态,画像,mktcap亿,日额万,①毛利率升,②CapEx增(代理),④预收增(代理),净利同比
300171,东富龙,观察,医疗器械,107.45,15430.0,True,False,False,134.49
002585,双星新材,观察,塑料制品,101.24,43667.0,True,False,False,130.62
003043,华亚智能,观察,机械设备-金属制品-金属制品,98.4,45724.0,True,False,False,35.88
300127,银河磁体,观察,电子器件,78.4,12137.0,True,False,False,39.31
002886,沃特股份,观察,基础化工-化学制品-塑料制品,66.09,153625.0,False,True,False,48.99
688711,宏微科技,观察,电子设备-电子元件-电子元件,51.05,14577.0,False,True,False,33.84
301348,蓝箭电子,观察,电子设备-半导体-半导体分立器件,50.47,13288.0,True,False,False,127.03
688320,禾川科技,观察,机械设备-通用设备-仪器仪表,49.37,8732.0,True,False,False,159.47878148206
300629,新劲刚,观察,信息技术-通信设备-通信传输设备,45.91,10873.0,True,False,False,292.75
688299,长阳科技,观察,电子设备-光电子器件-光学元件,37.02,6970.0,True,False,False,216.510671134139
