code,name,mktcap亿,日额万,①毛利率升,②CapEx增(代理),②在建同比(待核实),③OCF/净利,④预收增(代理),通过项数,备注
002562,兄弟科技,56.8,17539.0,True,False,?,True,True,3,晋级
002885,京泉华,75.13,72856.0,True,True,?,True,?,3,晋级
301568,思泰克,68.05,18834.0,True,False,?,True,True,3,晋级
002686,亿利达,37.03,10757.0,True,True,?,True,?,3,晋级
301305,朗坤科技,59.01,11970.0,True,False,?,True,True,3,晋级
600722,金牛化工,117.01,260480.0,True,True,?,True,False,3,晋级
300139,晓程科技,142.37,204264.0,True,False,?,True,True,3,晋级
603336,宏辉果蔬,55.64,17197.0,True,True,?,True,?,3,晋级
301095,广立微,140.58,40947.0,True,True,?,True,?,3,晋级
600234,科新发展,58.25,16346.0,True,True,?,True,False,3,晋级
301016,雷尔伟,42.53,5153.0,True,True,?,True,?,3,晋级
600635,大众公用,139.35,21286.0,True,False,?,True,True,3,晋级
000526,学大教育,45.26,12293.0,True,False,?,True,True,3,晋级
301073,君亭酒店,39.53,19700.0,False,True,?,True,True,3,晋级
603662,柯力传感,141.12,18443.0,False,True,?,True,True,3,晋级
002254,泰和新材,108.4,17493.0,True,True,?,True,False,3,晋级
603600,永艺股份,34.37,9541.0,True,False,?,True,True,3,晋级
002033,丽江股份,50.22,32416.0,True,False,?,True,True,3,晋级
600125,铁龙物流,70.89,7916.0,True,False,?,True,True,3,晋级
603608,天创时尚,89.04,35778.0,True,False,?,True,True,3,晋级
600227,赤天化,72.45,131748.0,True,False,?,True,True,3,晋级
603237,五芳斋,31.81,7405.0,True,True,?,True,False,3,晋级
603101,汇嘉时代,36.17,7181.0,True,False,?,True,False,2,观察
300573,兴齐眼药,133.41,13396.0,True,False,?,True,?,2,淘汰
600123,兰花科创,103.86,13740.0,True,False,?,True,?,2,观察
688663,新风光,107.26,13762.0,True,True,?,False,?,2,淘汰
603382,海阳科技,35.18,5220.0,True,False,?,True,?,2,淘汰
002354,天娱数科,139.81,523639.0,False,True,?,True,?,2,观察
002609,捷顺科技,50.57,5296.0,False,True,?,True,?,2,淘汰
605369,拱东医疗,37.17,5291.0,True,False,?,True,?,2,淘汰
002703,浙江世宝,140.75,173782.0,False,False,?,True,True,2,淘汰
600367,红星发展,120.01,162483.0,True,False,?,True,False,2,淘汰
002886,沃特股份,66.09,153625.0,False,True,?,True,?,2,观察
002437,誉衡药业,87.86,176096.0,True,False,?,True,?,2,淘汰
300153,科泰电源,73.02,43303.0,False,False,?,True,True,2,观察
300792,壹网壹创,61.58,43269.0,True,False,?,True,False,2,淘汰
603353,和顺石油,57.82,43111.0,True,False,?,True,False,2,观察
603636,南威软件,41.21,7150.0,True,True,?,?,?,2,淘汰
002255,海陆重工,65.56,7196.0,True,False,?,True,?,2,淘汰
600354,敦煌种业,45.71,127680.0,True,False,?,False,True,2,淘汰
688711,宏微科技,51.05,14577.0,False,True,?,True,?,2,观察
603001,奥康国际,35.97,14553.0,False,False,?,True,True,2,观察
002921,联诚精密,32.62,14943.0,True,False,?,True,False,2,观察
002907,华森制药,60.51,12923.0,True,False,?,True,False,2,淘汰
688693,锴威特,53.44,12803.0,True,False,?,?,True,2,淘汰
688799,华纳药厂,66.85,13090.0,False,False,?,True,True,2,淘汰
605060,联德股份,98.59,13054.0,True,False,?,True,?,2,淘汰
300473,德尔股份,46.01,13018.0,True,False,?,True,?,2,淘汰
600409,三友化工,148.01,14765.0,True,False,?,False,True,2,淘汰
601518,吉林高速,54.45,5435.0,True,False,?,True,False,2,淘汰
300406,九强生物,69.05,5571.0,True,False,?,True,False,2,淘汰
002888,惠威科技,32.48,14734.0,True,False,?,True,False,2,淘汰
002627,三峡旅游,50.74,13526.0,True,False,?,True,False,2,淘汰
000785,居然智家,143.84,14517.0,True,False,?,True,False,2,淘汰
600368,五洲交通,69.86,14478.0,True,False,?,True,False,2,淘汰
300873,海晨股份,49.85,14434.0,True,False,?,True,False,2,淘汰
002057,中钢天源,66.94,16194.0,True,False,?,True,?,2,淘汰
605016,百龙创园,93.45,12372.0,False,True,?,True,?,2,淘汰
002426,胜利精密,90.85,15800.0,True,True,?,?,?,2,淘汰
688029,南微医学,146.16,15757.0,True,False,?,True,?,2,淘汰
601330,绿色动力,113.29,15676.0,True,False,?,True,?,2,淘汰
002507,涪陵榨菜,130.97,16270.0,True,False,?,True,False,2,淘汰
605133,嵘泰股份,70.63,15314.0,True,False,?,True,?,2,淘汰
300171,东富龙,107.45,15430.0,True,False,?,True,?,2,观察
000070,特发信息,134.77,103837.0,True,False,?,True,False,2,观察
600313,农发种业,84.9,96998.0,False,False,?,True,True,2,淘汰
002782,可立克,75.45,15378.0,False,True,?,True,?,2,淘汰
605566,福莱蒽特,37.79,12710.0,True,False,?,True,False,2,淘汰
603313,梦百合,36.69,15241.0,True,False,?,True,?,2,淘汰
603758,秦安股份,49.59,15064.0,True,False,?,True,?,2,淘汰
688063,派能科技,102.49,16830.0,True,True,?,False,?,2,淘汰
600764,中国海防,132.96,16791.0,True,True,?,False,?,2,淘汰
002698,博实股份,122.09,16738.0,True,False,?,True,?,2,淘汰
300276,三丰智能,88.55,12063.0,True,False,?,True,False,2,淘汰
300231,银信科技,37.8,12052.0,True,False,?,True,False,2,淘汰
300196,长海股份,66.58,16687.0,True,False,?,True,?,2,淘汰
300190,维尔利,38.59,16559.0,True,False,?,True,?,2,观察
003032,传智教育,39.12,90009.0,True,False,?,True,?,2,观察
000908,石药景峰,109.97,5738.0,True,True,?,False,?,2,淘汰
300127,银河磁体,78.4,12137.0,True,False,?,True,?,2,观察
600769,祥龙电业,55.83,12131.0,True,False,?,True,?,2,淘汰
002186,全 聚 德,30.57,12213.0,True,False,?,True,False,2,淘汰
002125,湘潭电化,77.37,16550.0,True,True,?,False,?,2,淘汰
000595,新能股份,63.76,16513.0,True,False,?,True,False,2,淘汰
600063,皖维高新,115.25,16473.0,True,False,?,True,?,2,淘汰
003019,宸展光电,48.63,16376.0,True,True,?,False,?,2,淘汰
002303,美盈森,79.78,17977.0,True,False,?,True,False,2,淘汰
600310,广西能源,65.66,17837.0,True,False,?,True,False,2,观察
002067,景兴纸业,60.76,11781.0,True,False,?,True,False,2,观察
603088,宁波精达,51.39,11631.0,True,False,?,True,False,2,淘汰
301119,正强股份,38.35,14682.0,True,False,?,True,?,2,淘汰
002971,和远气体,81.41,86024.0,True,False,?,True,?,2,淘汰
300177,中海达,48.0,5851.0,True,True,?,?,?,2,淘汰
000919,金陵药业,40.8,5777.0,False,True,?,True,False,2,淘汰
600882,妙可蓝多,107.64,17329.0,True,False,?,True,?,2,淘汰
301393,昊帆生物,60.19,12047.0,True,False,?,True,?,2,淘汰
002332,仙琚制药,85.86,12008.0,True,False,?,True,False,2,淘汰
600572,康恩贝,111.44,17150.0,True,False,?,True,?,2,淘汰
300559,佳发教育,46.42,11907.0,True,False,?,True,?,2,淘汰
002197,证通电子,43.44,18367.0,True,False,?,True,?,2,观察
000035,中国天楹,115.34,18252.0,True,False,?,True,?,2,淘汰
300788,中信出版,48.64,18742.0,True,True,?,False,?,2,淘汰
002984,森麒麟,142.59,11450.0,False,True,?,True,?,2,淘汰
300698,万马科技,36.41,11414.0,False,True,?,True,False,2,淘汰
301092,争光股份,58.0,11380.0,False,True,?,True,?,2,淘汰
603193,润本股份,88.36,11350.0,False,True,?,True,?,2,淘汰
600071,凤凰光学,46.74,5929.0,False,True,?,True,False,2,淘汰
603266,天龙股份,33.04,5899.0,False,True,?,True,?,2,淘汰
600508,上海能源,113.52,75170.0,True,False,?,True,?,2,观察
300587,天铁科技,62.97,11479.0,True,False,?,True,?,2,观察
603668,天马科技,60.34,18212.0,True,False,?,True,False,2,淘汰
603819,神力股份,37.06,18181.0,True,False,?,True,?,2,观察
603496,恒为科技,71.6,18000.0,True,False,?,True,?,2,淘汰
002345,潮宏基,85.92,20038.0,True,False,?,True,False,2,淘汰
600525,长园集团,67.26,10862.0,True,False,?,True,?,2,观察
605488,福莱新材,81.66,20027.0,True,False,?,True,?,2,淘汰
300403,汉宇集团,55.42,6000.0,False,True,?,True,?,2,淘汰
002103,广博股份,36.65,5993.0,True,False,?,False,True,2,淘汰
002559,亚威股份,56.93,19445.0,False,True,?,True,False,2,淘汰
300098,高新兴,78.03,19435.0,True,False,?,True,?,2,淘汰
300629,新劲刚,45.91,10873.0,True,False,?,True,False,2,观察
002479,富春环保,52.33,11167.0,True,False,?,True,?,2,观察
603293,埃泰克,68.84,11166.0,False,True,?,True,?,2,淘汰
300595,欧普康视,98.74,11147.0,False,True,?,True,?,2,淘汰
600770,综艺股份,66.04,11232.0,True,False,?,True,False,2,观察
301078,孩子王,92.19,19140.0,False,False,?,True,True,2,淘汰
603178,圣龙股份,41.37,19049.0,True,False,?,True,?,2,观察
300009,安科生物,139.0,20495.0,True,False,?,True,?,2,淘汰
603882,金域医学,123.69,20452.0,True,False,?,True,?,2,观察
301085,亚康股份,58.15,69480.0,True,False,?,True,?,2,观察
601566,九牧王,60.39,67717.0,True,False,?,True,False,2,淘汰
002158,汉钟精机,146.3,66821.0,True,False,?,True,?,2,淘汰
600785,新华百货,36.01,66722.0,False,True,?,True,False,2,淘汰
002458,益生股份,130.38,66720.0,False,False,?,True,True,2,观察
002201,九鼎新材,60.41,66501.0,False,True,?,True,?,2,淘汰
600576,祥源文旅,60.53,10601.0,False,False,?,True,True,2,淘汰
301055,张小泉,42.15,10732.0,True,False,?,True,False,2,淘汰
600509,天富能源,102.39,10688.0,True,False,?,True,False,2,淘汰
300809,华辰装备,60.6,10654.0,True,False,?,True,?,2,观察
301662,宏工科技,72.73,20341.0,True,False,?,True,?,2,观察
000601,韶能股份,65.65,20175.0,True,False,?,True,?,2,观察
301120,新特电气,56.16,20127.0,True,False,?,True,False,2,观察
688376,美埃科技,84.33,10214.0,True,True,?,False,?,2,淘汰
002218,拓日新能,56.05,10143.0,True,False,?,?,True,2,淘汰
301376,致欧科技,95.79,21944.0,True,False,?,True,?,2,淘汰
002597,金禾实业,119.74,21440.0,True,False,?,True,?,2,淘汰
300121,阳谷华泰,42.48,10350.0,True,False,?,True,?,2,淘汰
600351,亚宝药业,46.09,10309.0,False,False,?,True,True,2,淘汰
002263,大东南,59.17,10308.0,True,False,?,True,?,2,淘汰
001380,华纬科技,48.62,6069.0,True,False,?,True,?,2,淘汰
000505,京粮控股,51.32,64545.0,True,False,?,True,False,2,淘汰
002626,金达威,101.86,10577.0,True,False,?,True,?,2,淘汰
000523,红棉股份,61.86,20854.0,True,False,?,True,False,2,观察
000965,天保基建,37.4,20839.0,False,False,?,True,True,2,淘汰
002807,江阴银行,114.26,20747.0,?,True,?,True,?,2,淘汰
002846,英联股份,46.33,10413.0,True,False,?,True,?,2,淘汰
300727,润禾材料,54.94,20512.0,False,True,?,True,?,2,淘汰
001316,润贝航科,48.64,23801.0,True,False,?,True,?,2,观察
002075,沙钢股份,81.17,9842.0,True,False,?,True,?,2,淘汰
002986,宇新股份,51.39,9809.0,True,False,?,True,?,2,观察
