code,name,mktcap亿,日额万,①毛利率升,②CapEx增(代理),②在建同比(待核实),③OCF/净利,④预收增(代理),通过项数,备注,净利同比,行业
603101,汇嘉时代,36.17,7181.0,True,False,?,True,False,2,观察,46.4,商贸零售-零售-百货
600123,兰花科创,103.86,13740.0,True,False,?,True,False,2,观察,44.6,煤炭行业
002354,天娱数科,139.81,523639.0,False,True,?,True,False,2,观察,72.41,电子信息
002886,沃特股份,66.09,153625.0,False,True,?,True,False,2,观察,48.99,基础化工-化学制品-塑料制品
300153,科泰电源,73.02,43303.0,False,False,?,True,True,2,观察,131.66,发电设备
603353,和顺石油,57.82,43111.0,True,False,?,True,False,2,观察,480.48,化石能源-石油天然气-石油天然气贸易
688711,宏微科技,51.05,14577.0,False,True,?,True,False,2,观察,33.84,电子设备-电子元件-电子元件
603001,奥康国际,35.97,14553.0,False,False,?,True,True,2,观察,119.09318355053,服装鞋类
002921,联诚精密,32.62,14943.0,True,False,?,True,False,2,观察,133.18,交运设备-汽车-汽车零部件
300171,东富龙,107.45,15430.0,True,False,?,True,False,2,观察,134.49,医疗器械
000070,特发信息,134.77,103837.0,True,False,?,True,False,2,观察,1007.52,电子信息
300190,维尔利,38.59,16559.0,True,False,?,True,False,2,观察,187.4,环保行业
003032,传智教育,39.12,90009.0,True,False,?,True,False,2,观察,577.83,文化传媒-教育-教育信息化服务
300127,银河磁体,78.4,12137.0,True,False,?,True,False,2,观察,39.31,电子器件
600310,广西能源,65.66,17837.0,True,False,?,True,False,2,观察,275.110059431999,电力行业
002067,景兴纸业,60.76,11781.0,True,False,?,True,False,2,观察,152.95,造纸行业
002197,证通电子,43.44,18367.0,True,False,?,True,False,2,观察,116.06,仪器仪表
600508,上海能源,113.52,75170.0,True,False,?,True,False,2,观察,38.02,煤炭行业
300587,天铁科技,62.97,11479.0,True,False,?,True,False,2,观察,147.17,基础化工-化学制品-其他化学制品
603819,神力股份,37.06,18181.0,True,False,?,True,False,2,观察,155.03,电气设备-电机-电机
600525,长园集团,67.26,10862.0,True,False,?,True,False,2,观察,110.73780245307,发电设备
300629,新劲刚,45.91,10873.0,True,False,?,True,False,2,观察,292.75,信息技术-通信设备-通信传输设备
002479,富春环保,52.33,11167.0,True,False,?,True,False,2,观察,72.11,电力行业
600770,综艺股份,66.04,11232.0,True,False,?,True,False,2,观察,136.92,综合行业
603178,圣龙股份,41.37,19049.0,True,False,?,True,False,2,观察,125.434182677808,交运设备-汽车-汽车零部件
603882,金域医学,123.69,20452.0,True,False,?,True,False,2,观察,324.27,医药生物-医疗服务-医疗服务
301085,亚康股份,58.15,69480.0,True,False,?,True,False,2,观察,176.29,信息技术-计算机硬件-专用计算机设备
002458,益生股份,130.38,66720.0,False,False,?,True,True,2,观察,4897.29,农林牧渔
300809,华辰装备,60.6,10654.0,True,False,?,True,False,2,观察,83.76,机械设备-通用设备-机床设备
301662,宏工科技,72.73,20341.0,True,False,?,True,False,2,观察,75.1,机械设备-专用设备-其他专用机械
000601,韶能股份,65.65,20175.0,True,False,?,True,False,2,观察,75.64,电力行业
301120,新特电气,56.16,20127.0,True,False,?,True,False,2,观察,109.32,电气设备-其他电气设备-其他电气设备
000523,红棉股份,61.86,20854.0,True,False,?,True,False,2,观察,127.05,化工行业
001316,润贝航科,48.64,23801.0,True,False,?,True,False,2,观察,44.82,商贸零售-贸易-贸易
002986,宇新股份,51.39,9809.0,True,False,?,True,False,2,观察,400.64,基础化工-化学新材料-化学新材料
002520,日发精机,48.02,23411.0,True,False,?,True,False,2,观察,122.66,机械行业
600075,新疆天业,84.71,22953.0,True,False,?,True,False,2,观察,359.17,化工行业
003010,若羽臣,98.29,22809.0,False,True,?,True,False,2,观察,131.72,商贸零售-商业物业经营-专业市场
603330,天洋新材,45.6,62876.0,True,False,?,True,False,2,观察,158.367758744159,基础化工-化学制品-塑料制品
600844,金煤科技,37.2,25324.0,True,False,?,True,False,2,观察,128.038012855339,化工行业
603139,康惠股份,38.92,6244.0,True,False,?,True,False,2,观察,122.616010565338,医药生物-中药生产-中药生产
603031,安孚科技,147.44,58801.0,False,True,?,True,False,2,观察,84.38,电气设备-电源设备-储能设备
000980,众泰汽车,82.19,26912.0,False,True,?,True,False,2,观察,154.36,仪器仪表
002455,百川股份,55.7,26900.0,True,False,?,True,False,2,观察,31.23,化工行业
688202,美迪西,125.27,55930.0,True,False,?,True,False,2,观察,500.06985897934,医药生物-生物医药-生物医药
600698,湖南天雁,84.53,62003.0,True,False,?,True,False,2,观察,75.4,汽车制造
002793,罗欣药业,51.88,9329.0,True,False,?,True,False,2,观察,182.19,医药生物-化学制药-化学原料药
603901,永创智能,56.98,9301.0,True,False,?,True,False,2,观察,79.92,其它行业
002077,大港股份,71.32,25545.0,True,False,?,True,False,2,观察,71.74,房地产
603135,中重科技,57.15,8745.0,True,False,?,True,False,2,观察,90.82,机械设备-专用设备-矿山冶金机械
688320,禾川科技,49.37,8732.0,True,False,?,True,False,2,观察,159.47878148206,机械设备-通用设备-仪器仪表
688656,浩欧博,66.36,8727.0,True,False,?,True,False,2,观察,37.05,医药生物-生物医药-生物医药
300981,中红医疗,70.76,28149.0,False,True,?,True,False,2,观察,2662.38,医药生物-医疗器械-医疗器械
000722,湖南发展,85.22,27538.0,True,False,?,True,False,2,观察,77.45,电力行业
301448,开创电气,46.67,6263.0,True,False,?,True,False,2,观察,140.8,机械设备-通用设备-其他通用机械
301565,中仑新材,76.72,8466.0,True,False,?,True,False,2,观察,63.34,基础化工-化学制品-塑料制品
300244,迪安诊断,111.12,51940.0,True,False,?,True,False,2,观察,2160.87,医疗器械
603099,长白山,104.86,28087.0,False,False,?,True,True,2,观察,161.84,酒店旅游
301239,普瑞眼科,50.54,8187.0,True,False,?,True,False,2,观察,500.71,医药生物-医疗服务-医疗服务
605118,力鼎光电,143.02,31777.0,True,False,?,True,False,2,观察,37.05,电子设备-光电子器件-光学元件
688710,益诺思,112.36,30849.0,True,False,?,True,False,2,观察,357.892995808397,医药生物-生物医药-生物医药
600617,国新能源,64.82,8526.0,True,False,?,True,False,2,观察,44.26,供水供气
300801,泰和科技,47.73,7992.0,False,True,?,True,False,2,观察,148.24,基础化工-化学制品-其他化学制品
300885,海昌新材,48.12,8130.0,False,True,?,True,False,2,观察,42.97,机械设备-金属制品-金属制品
000520,凤凰航运,44.94,49894.0,True,False,?,True,False,2,观察,2329.69,交通运输
002274,华昌化工,58.28,49452.0,True,False,?,True,False,2,观察,1026.9,农药化肥
601008,连云港,55.46,6702.0,True,False,?,True,False,2,观察,35.83,交通运输
605228,神通科技,51.37,6665.0,True,False,?,True,False,2,观察,43.94,交运设备-汽车-汽车零部件
688222,成都先导,125.97,48266.0,True,False,?,True,False,2,观察,61.21,医药生物-医药商业-医药商业
688095,福昕软件,57.56,32614.0,True,False,?,True,False,2,观察,386.05,信息技术-计算机软件-行业应用软件
688365,光云科技,65.61,32203.0,False,False,?,True,True,2,观察,196.095766858281,信息技术-计算机软件-其他软件服务
301348,蓝箭电子,50.47,13288.0,True,False,?,True,False,2,观察,127.03,电子设备-半导体-半导体分立器件
688667,菱电电控,46.64,7915.0,False,True,?,True,False,2,观察,50.39,交运设备-汽车-汽车零部件
000880,潍柴重机,112.72,47852.0,True,False,?,True,False,2,观察,36.49,机械行业
301321,翰博高新,77.65,34379.0,True,False,?,True,False,2,观察,176.03,电子设备-光电子器件-光学元件
300031,宝通科技,86.76,34265.0,True,False,?,True,False,2,观察,37.4,化工行业
600638,新黄浦,34.07,8038.0,True,False,?,True,False,2,观察,108.44,房地产
603790,雅运股份,45.98,8034.0,True,False,?,True,False,2,观察,39.31,基础化工-化学制品-印染化学品
002952,亚世光电,35.61,37875.0,False,True,?,True,False,2,观察,170.42,电子设备-电子器件-显示器件
300511,雪榕生物,35.05,36931.0,False,True,?,True,False,2,观察,117.41,农林牧渔-农业-农产品加工
002585,双星新材,101.24,43667.0,True,False,?,True,False,2,观察,130.62,塑料制品
003043,华亚智能,98.4,45724.0,True,False,?,True,False,2,观察,35.88,机械设备-金属制品-金属制品
603958,哈森股份,45.43,45355.0,True,False,?,True,False,2,观察,1569.43177751633,纺织服装-服装家纺-服装
300022,吉峰科技,39.79,7725.0,False,True,?,True,False,2,观察,35.76,商业百货
300483,首华燃气,98.51,34793.0,False,True,?,True,False,2,观察,2131.55,化石能源-石油天然气-石油天然气开采
300767,震安科技,52.22,14275.0,True,False,?,True,False,2,观察,129.3,基础化工-橡胶制品-其他橡胶制品
603719,良品铺子,38.41,5377.0,False,False,?,True,True,2,观察,117.310356429695,食品饮料-食品-食品综合
600540,新赛股份,35.52,110995.0,False,False,?,True,True,2,观察,1819.68,农林牧渔
601828,美凯龙,95.78,13223.0,True,False,?,True,False,2,观察,103.939893203153,商贸零售-商业物业经营-专业市场
301026,浩通科技,46.0,13442.0,False,True,?,True,False,2,观察,73.41,商贸零售-贸易-贸易
002956,西麦食品,52.41,5384.0,True,False,?,True,False,2,观察,81.88,食品饮料-食品-食品综合
002246,北化股份,117.22,40160.0,False,True,?,True,False,2,观察,111.09,化工行业
000716,黑芝麻,41.11,39917.0,False,True,?,True,False,2,观察,302.85,食品行业
002376,新北洋,54.15,7054.0,False,True,?,True,False,2,观察,42.71,电子信息
688712,北芯生命,130.27,7018.0,False,True,?,True,False,2,观察,88.01,次新股
688299,长阳科技,37.02,6970.0,True,False,?,True,False,2,观察,216.510671134139,电子设备-光电子器件-光学元件
002277,友阿股份,83.93,14385.0,True,False,?,True,False,2,观察,32.43,商业百货
